SISTEMA,NOMBRE,LINEA,EST,CVE_EST,CVE_EOD17,TIPO,ALCALDIAS,AnO
"STC Metro",Aculco,8,13,STC0813,5134,Intermedia,IZTAPALAPA,1994
"STC Metro",Allende,2,12,STC0212,5041,Intermedia,CUAUHTEMOC,1970
"STC Metro",Apatlaco,8,12,STC0812,5135,Intermedia,IZTAPALAPA,1994
"STC Metro","Aquiles Serdan",7,2,STC0702,5120,Intermedia,AZCAPOTZALCO,1988
"STC Metro",Aragon,5,9,STC0509,5096,Intermedia,GUSTAVO_A_MADERO,1981
"STC Metro",Atlalilco,12,12,STC1212,5021,Transbordo,IZTAPALAPA,2012
"STC Metro",Atlalilco,8,15,STC0815,5136,Transbordo,IZTAPALAPA,1994
"STC Metro",Auditorio,7,8,STC0708,5121,Intermedia,MIGUEL_HIDALGO,1984
"STC Metro","Autobuses del Norte",5,3,STC0503,5097,Intermedia,GUSTAVO_A_MADERO,1982
"STC Metro",Balbuena,1,5,STC0105,5001,Intermedia,VENUSTIANO_CARRANZA,1969
"STC Metro",Balderas,1,13,STC0113,5002,Transbordo,CUAUHTEMOC,1969
"STC Metro",Balderas,3,9,STC0309,5065,Transbordo,CUAUHTEMOC,1970
"STC Metro","Barranca del Muerto",7,14,STC0714,5122,Terminal,ALVARO_OBREGON,1985
"STC Metro","Bellas Artes",2,11,STC0211,5042,Transbordo,CUAUHTEMOC,1970
"STC Metro","Bellas Artes",8,2,STC0802,5137,Transbordo,CUAUHTEMOC,1994
"STC Metro",Bondojito,4,8,STC0408,5086,Intermedia,GUSTAVO_A_MADERO,1981
"STC Metro","Boulevard Puerto Aereo",1,4,STC0104,5003,Intermedia,VENUSTIANO_CARRANZA,1969
"STC Metro","Calle 11",12,8,STC1208,5022,Intermedia,IZTAPALAPA,2012
"STC Metro",Camarones,7,3,STC0703,5123,Intermedia,AZCAPOTZALCO,1988
"STC Metro","Canal del Norte",4,6,STC0406,5087,Intermedia,VENUSTIANO_CARRANZA,1981
"STC Metro",Candelaria,1,8,STC0108,5004,Transbordo,VENUSTIANO_CARRANZA,1969
"STC Metro",Candelaria,4,4,STC0404,5088,Transbordo,VENUSTIANO_CARRANZA,1981
