id_delito_entry,id_delito_general,cve_delito,mes,mes_anterior_tot,mes_tot,mes_year_anterior_tot,year,geo_alcaldia,nomgeo,Columna1
1,1,Homicidio doloso,12,3,6,0,2018,9010,Alvaro Obregon,
2,10,Lesiones dolosas por disparo de arma de fuego,12,5,6,0,2018,9010,Alvaro Obregon,
3,11,Robo a transeunte en via publica,12,135,117,0,2018,9010,Alvaro Obregon,
4,12,Robo a repartidor,12,8,18,0,2018,9010,Alvaro Obregon,
5,13,Robo a negocio con violencia,12,33,52,0,2018,9010,Alvaro Obregon,
6,15,Robo a cuentahabiente,12,3,2,0,2018,9010,Alvaro Obregon,
7,16,Robo a transportista,12,0,0,0,2018,9010,Alvaro Obregon,
8,17,Robo a conductor/pasajero de vehiculo,12,87,55,0,2018,9010,Alvaro Obregon,
9,19,Total delitos alto impacto,12,300,317,0,2018,9010,Alvaro Obregon,
10,2,Robo a pasajero a bordo del Metro,12,3,4,0,2018,9010,Alvaro Obregon,
11,20,Total delitos bajo impacto,12,125,96,0,2018,9010,Alvaro Obregon,
12,3,Robo a pasajero a bordo de microbus,12,4,3,0,2018,9010,Alvaro Obregon,
13,4,Robo a casa habitacion con violencia,12,3,3,0,2018,9010,Alvaro Obregon,
14,5,Robo a pasajero a bordo de taxi,12,4,5,0,2018,9010,Alvaro Obregon,
15,6,Robo a bordo de Metrobus,12,0,1,0,2018,9010,Alvaro Obregon,
16,7,Robo a casa habitacion sin violencia,12,38,40,0,2018,9010,Alvaro Obregon,
17,8,Robo de vehiculo sin violencia,12,61,57,0,2018,9010,Alvaro Obregon,
18,9,Robo de vehiculo con violencia,12,34,36,0,2018,9010,Alvaro Obregon,
19,1,Homicidio doloso,12,7,4,0,2018,9002,Azcapotzalco,
20,10,Lesiones dolosas por disparo de arma de fuego,12,6,10,0,2018,9002,Azcapotzalco,
21,11,Robo a transeunte en via publica,12,95,102,0,2018,9002,Azcapotzalco,
22,12,Robo a repartidor,12,4,18,0,2018,9002,Azcapotzalco,
23,13,Robo a negocio con violencia,12,16,36,0,2018,9002,Azcapotzalco,
24,15,Robo a cuentahabiente,12,2,5,0,2018,9002,Azcapotzalco,
25,16,Robo a transportista,12,3,3,0,2018,9002,Azcapotzalco,
26,17,Robo a conductor/pasajero de vehiculo,12,13,14,0,2018,9002,Azcapotzalco,
27,19,Total delitos alto impacto,12,228,274,0,2018,9002,Azcapotzalco,
28,2,Robo a pasajero a bordo del Metro,12,4,1,0,2018,9002,Azcapotzalco,
29,20,Total delitos bajo impacto,12,48,45,0,2018,9002,Azcapotzalco,
30,3,Robo a pasajero a bordo de microbus,12,8,1,0,2018,9002,Azcapotzalco,
31,4,Robo a casa habitacion con violencia,12,7,4,0,2018,9002,Azcapotzalco,
32,5,Robo a pasajero a bordo de taxi,12,0,0,0,2018,9002,Azcapotzalco,
33,6,Robo a bordo de Metrobus,12,1,1,0,2018,9002,Azcapotzalco,
34,7,Robo a casa habitacion sin violencia,12,34,30,0,2018,9002,Azcapotzalco,
35,8,Robo de vehiculo sin violencia,12,45,60,0,2018,9002,Azcapotzalco,
