SUM(current_month),year,alcaldia
4,2018,ALVARO_OBREGON
25,2019,ALVARO_OBREGON
9,2020,ALVARO_OBREGON
10,2021,ALVARO_OBREGON
1,2018,AZCAPOTZALCO
65,2019,AZCAPOTZALCO
20,2020,AZCAPOTZALCO
11,2021,AZCAPOTZALCO
34,2018,BENITO_JUAREZ
395,2019,BENITO_JUAREZ
93,2020,BENITO_JUAREZ
53,2021,BENITO_JUAREZ
6,2018,COYOACAN
64,2019,COYOACAN
20,2020,COYOACAN
19,2021,COYOACAN
0,2018,CUAJIMALPA_DE_MORELOS
0,2019,CUAJIMALPA_DE_MORELOS
0,2020,CUAJIMALPA_DE_MORELOS
0,2021,CUAJIMALPA_DE_MORELOS
163,2018,CUAUHTEMOC
1052,2019,CUAUHTEMOC
233,2020,CUAUHTEMOC
324,2021,CUAUHTEMOC
6,2018,GUSTAVO_A_MADERO
164,2019,GUSTAVO_A_MADERO
49,2020,GUSTAVO_A_MADERO
74,2021,GUSTAVO_A_MADERO
17,2018,IZTACALCO
171,2019,IZTACALCO
47,2020,IZTACALCO
47,2021,IZTACALCO
9,2018,IZTAPALAPA
168,2019,IZTAPALAPA
59,2020,IZTAPALAPA
36,2021,IZTAPALAPA
0,2018,LA_MAGDALENA_CONTRERAS
0,2019,LA_MAGDALENA_CONTRERAS
0,2020,LA_MAGDALENA_CONTRERAS
0,2021,LA_MAGDALENA_CONTRERAS
35,2018,MIGUEL_HIDALGO
222,2019,MIGUEL_HIDALGO
66,2020,MIGUEL_HIDALGO
88,2021,MIGUEL_HIDALGO
0,2018,MILPA_ALTA
0,2019,MILPA_ALTA
0,2020,MILPA_ALTA
0,2021,MILPA_ALTA
308,2018,NO_IDENTIFICADA
2851,2019,NO_IDENTIFICADA
806,2020,NO_IDENTIFICADA
1016,2021,NO_IDENTIFICADA
1,2018,TLAHUAC
28,2019,TLAHUAC
17,2020,TLAHUAC
6,2021,TLAHUAC
0,2018,TLALPAN
0,2019,TLALPAN
0,2020,TLALPAN
0,2021,TLALPAN
32,2018,VENUSTIANO_CARRANZA
417,2019,VENUSTIANO_CARRANZA
145,2020,VENUSTIANO_CARRANZA
152,2021,VENUSTIANO_CARRANZA
0,2018,XOCHIMILCO
0,2019,XOCHIMILCO
0,2020,XOCHIMILCO
0,2021,XOCHIMILCO
